Ticker,Timestamp,ESG Score,Governance Score,Environment Score,Social Score
PPG,1696118400,,,,
PPG,1698796800,,,,
PPG,1701388800,,,,
PPG,1704067200,,,,
PPG,1706745600,,,,
PPG,1709251200,,,,
PPG,1711929600,,,,
PPG,1714521600,,,,
PPG,1717200000,,,,
PPG,1719792000,,,,
PPG,1722470400,,,,
PPG,1725148800,,,,
PPG,1727740800,,,,
PPG,1730419200,22.3,4.38,9.79,8.12
PPG,1733011200,22.3,4.38,9.79,8.12
PPL,1409529600,56.0,71.0,46.0,58.0
PPL,1412121600,55.0,71.0,45.0,58.0
PPL,1414800000,56.0,74.0,45.0,59.0
PPL,1417392000,56.0,74.0,45.0,59.0
PPL,1420070400,56.0,74.0,45.0,59.0
PPL,1422748800,56.0,74.0,45.0,59.0
PPL,1425168000,56.0,74.0,45.0,59.0
PPL,1427846400,58.0,74.0,45.0,63.0
PPL,1430438400,58.0,74.0,45.0,63.0
PPL,1433116800,58.0,74.0,45.0,63.0
PPL,1435708800,58.0,74.0,45.0,63.0
PPL,1438387200,58.0,74.0,45.0,63.0
PPL,1441065600,58.0,74.0,45.0,63.0
PPL,1443657600,58.0,74.0,45.0,63.0
PPL,1446336000,57.0,69.0,46.0,63.0
PPL,1448928000,57.0,69.0,46.0,63.0
PPL,1451606400,56.87,69.05,45.81,63.32
PPL,1454284800,56.87,69.05,45.81,63.32
PPL,1456790400,56.87,69.05,45.81,63.32
PPL,1459468800,57.33,69.05,46.4,63.96
PPL,1462060800,57.33,69.05,46.4,63.96
PPL,1464739200,57.33,69.05,46.4,63.96
PPL,1467331200,57.33,69.05,46.4,63.96
PPL,1470009600,57.33,69.05,46.4,63.96
PPL,1472688000,57.33,69.05,46.4,63.96
PPL,1475280000,57.33,69.05,46.4,63.96
PPL,1477958400,57.33,69.05,46.4,63.96
PPL,1480550400,57.33,69.05,46.4,63.96
PPL,1483228800,63.1,71.05,59.51,61.88
PPL,1485907200,63.1,71.05,59.51,61.88
PPL,1488326400,63.1,71.05,59.51,61.88
PPL,1491004800,63.1,71.05,59.51,61.88
PPL,1493596800,63.1,71.05,59.51,61.88
PPL,1496275200,63.1,71.05,59.51,61.88
PPL,1498867200,63.1,71.05,59.51,61.88
PPL,1501545600,63.06,71.05,59.51,61.75
PPL,1504224000,63.06,71.05,59.51,61.75
PPL,1506816000,61.58,68.65,57.9,61.2
PPL,1509494400,62.31,70.65,52.5,70.07
PPL,1512086400,62.31,70.65,52.5,70.07
PPL,1514764800,62.31,70.65,52.5,70.07
PPL,1517443200,62.31,70.65,52.5,70.07
PPL,1519862400,63.16,73.45,52.85,70.07
PPL,1522540800,63.16,73.45,52.85,70.07
PPL,1525132800,63.16,73.45,52.85,70.07
PPL,1527811200,63.16,73.45,52.85,70.07
PPL,1530403200,63.16,73.45,52.85,70.07
PPL,1533081600,63.16,73.45,52.85,70.07
PPL,1535760000,63.16,73.45,52.85,70.07
PPL,1538352000,65.19,73.45,57.35,70.07
PPL,1541030400,64.89,72.25,57.35,70.07
PPL,1543622400,65.38,72.25,56.36,73.2
PPL,1546300800,67.54,72.25,60.96,73.48
PPL,1548979200,67.54,72.25,60.96,73.48
PPL,1551398400,67.54,72.25,60.96,73.48
PPL,1554076800,65.4,72.25,56.21,73.48
PPL,1556668800,64.84,72.25,54.97,73.48
PPL,1559347200,64.84,72.25,54.97,73.48
PPL,1561939200,64.84,72.25,54.97,73.48
PPL,1564617600,64.84,72.25,54.97,73.48
PPL,1567296000,64.84,72.25,54.97,73.48
PPL,1569888000,65.09,73.25,54.97,73.48
PPL,1572566400,65.05,73.25,54.97,73.33
PPL,1575158400,63.73,71.65,52.93,73.33
PPL,1577836800,35.92,7.1,18.72,10.09
