year,Company_Symbol,Total-Score,E-Score,S-Score,G-Score
2023,ALB,27.685,15.46,5.195,7.03
2024,ALB,20.11,11.83,3.79,4.49
2025,ALB,16.671629542459254,10.304072238547326,2.3439872286498593,4.208523355228294
2026,ALB,13.09564311191809,8.781701418406263,0.8802621092083189,3.6190841252126553
2027,ALB,9.382699352787675,7.262993100791478,-0.5997526661251431,2.721570621295008
2028,ALB,2.3001524499696657,3.9819050890378733,-1.7415544876143816,0.15384655667926594
2029,ALB,-1.1398466139406125,2.455395874468614,-3.188879201584246,-0.1280682391130128
2020,ALL,22.04833333333333,1.4366666666666668,8.636666666666667,11.971666666666666
2021,ALL,22.41,1.65,8.457500000000001,12.3025
2022,ALL,19.76,1.54,7.8,10.423333333333334
2023,ALL,22.04,1.03,10.13,10.88
2024,ALL,21.29,1.12,10.68,9.48
2025,ALL,20.839166964063143,1.0029134674659448,10.939580984387876,8.94991408481939
2026,ALL,20.57108700400522,0.8699547969217387,11.321830875084716,8.432166274976435
2027,ALL,20.48089299816715,0.721185552358927,11.826699147563057,7.921171563761819
2028,ALL,20.512767453829355,0.6343650591725252,13.115888978190185,6.7758458639776284
2029,ALL,20.06694525697639,0.5172310161874112,13.375806312899442,6.2511884971333185
2020,ALLE,23.861666666666668,13.475,4.21,6.168333333333334
2021,ALLE,22.35,11.572,4.23,6.558
2022,ALLE,23.59,12.75,4.54,6.3
2023,ALLE,22.75,11.825,5.19,5.734999999999999
2024,ALLE,19.83,10.84,5.91,3.08
2025,ALLE,19.47500334250559,10.377918995569328,5.990151821576482,3.112932418874669
2026,ALLE,19.26553062075256,10.000301255278774,6.355767253461078,2.847231807358474
2027,ALLE,19.204847117477364,9.704386117603493,7.005763023571632,2.2822322467070144
2028,ALLE,16.142466428264566,8.661933252562088,7.725772724211094,-0.3727717944186111
2029,ALLE,15.783222967237167,8.202380246934068,7.805995773631384,-0.3397783897913431
2020,AMAT,15.986666666666666,5.385000000000001,4.645,5.955000000000001
2021,AMAT,14.23,5.0920000000000005,3.766,5.378
2022,AMAT,11.573333333333332,3.84,2.62,5.109999999999999
2023,AMAT,12.74,4.49,2.97,5.28
2024,AMAT,11.56,3.8,3.09,4.67
2025,AMAT,10.106110813819777,3.371072813511492,2.4283027070305345,4.226961823360238
2026,AMAT,8.866007995068426,2.977504607453297,1.8114210767254022,4.090127496819202
2027,AMAT,7.837947516559117,2.6196366797610686,1.2397173155962653,4.260127890855273
2028,AMAT,7.51679572966029,2.2909365921167666,1.7322081576295598,3.6501225834471818
2029,AMAT,6.064953306270811,1.8616950085603916,1.0704904152946741,3.2070906789316744
2020,AME,29.41,9.08,12.44,7.890000000000001
2021,AME,26.012,8.324000000000002,9.95,7.706
2022,AME,24.68,8.540000000000001,8.99,7.153333333333333
2023,AME,23.99,8.65,8.51,6.825
2024,AME,21.13,7.13,8.63,5.37
2025,AME,19.18228905262647,6.742804140844982,6.94449407563976,5.058505354391603
2026,AME,17.863993806251365,6.636009774450803,5.669810369682137,4.683761215906014
2027,AME,17.173992260824235,6.8081224891013905,4.806892588437284,4.245585333102147
2028,AME,14.313986565559965,5.310037289576282,5.170971258667326,2.815870748061416
2029,AME,12.365446911101255,4.923858885942686,3.485001329624099,2.5043409672779102
2020,AMGN,21.51333333333333,0.03,14.73,6.756666666666667
2021,AMGN,19.708,0.03,13.182,6.5
2022,AMGN,20.666666666666668,0.47,13.276666666666666,6.923333333333333
2023,AMGN,21.96,0.73,13.48,7.75
2024,AMGN,22.776666666666667,1.4433333333333334,15.126666666666669,6.206666666666666
2025,AMGN,22.16048345848894,1.683133866416605,14.164094313738541,6.285775951676342
2026,AMGN,22.391738639182627,1.937107915534686,13.799216364589558,6.738451850984699
2027,AMGN,23.47428107871409,2.205127426764625,14.03265105794183,7.565119295678272
2028,AMGN,24.51879704651856,2.9451222322536346,15.74087352575027,6.021783759034108
2029,AMGN,23.89893040633842,3.185196438212206,14.778224432078126,6.101153096918512
2020,AMP,27.74666666666667,2.303333333333333,12.186666666666667,13.253333333333332
2021,AMP,25.166,2.4,10.036,12.73
2022,AMP,22.62333333333333,2.723333333333333,7.433333333333334,12.466666666666669
2023,AMP,21.44,2.325,7.525,11.58
2024,AMP,18.71,1.75,7.58,9.39
2025,AMP,17.435448816623342,1.8239146449798027,5.742132151640922,8.550712051596262
2026,AMP,16.202224552349215,1.8629504921138897,4.0831808119752795,7.686768315447553
